ticker,name
VG,Vonage Holdings Corp. - Common Stock
CDNS,"Cadence Design Systems, Inc. - Common Stock"
UONE,"Urban One, Inc.  - Class A Common Stock"
AVGO,Broadcom Inc. - Common Stock
ADBE,Adobe Inc. - Common Stock
ALXN,"Alexion Pharmaceuticals, Inc. - Common Stock"
LLNW,"Limelight Networks, Inc. - Common Stock"
MXIM,"Maxim Integrated Products, Inc. - Common Stock"
ARCC,Ares Capital Corporation - Closed End Fund
COST,Costco Wholesale Corporation - Common Stock
GNUS,"Genius Brands International, Inc. - Common Stock"
FRSX,Foresight Autonomous Holdings Ltd. - American Depositary Shares
CRIS,"Curis, Inc. - Common Stock"
NLOK,NortonLifeLock Inc. - Common Stock
GEVO,"Gevo, Inc. - Common Stock"
DGLY,"Digital Ally, Inc. - Common Stock"
QRTEA,"Qurate Retail, Inc. - Series A Common Stock"
MAR,Marriott International - Class A Common Stock
VSTM,"Verastem, Inc. - Common Stock"
MGNX,"MacroGenics, Inc. - Common Stock"
SABR,Sabre Corporation - Common Stock
ENDP,Endo International plc - Ordinary Shares
BYND,"Beyond Meat, Inc. - Common stock"
YNDX,Yandex N.V. - Class A Ordinary Shares
COMM,"CommScope Holding Company, Inc. - Common Stock"
APPS,"Digital Turbine, Inc. - Common Stock"
DCT,"Duck Creek Technologies, Inc. - Common Stock"
AGEN,Agenus Inc. - Common Stock
DDOG,"Datadog, Inc. - Class A Common Stock"
PRPO,"Precipio, Inc. - Common Stock"
ZI,ZoomInfo Technologies Inc. - Class A Common Stock
MIK,"The Michaels Companies, Inc. - Common Stock"
EBAY,eBay Inc. - Common Stock
EVFM,"Evofem Biosciences, Inc. - Common Stock"
CEMI,"Chembio Diagnostics, Inc. - Common Stock"
BILI,Bilibili Inc. - American Depositary Shares
ZION,Zions Bancorporation N.A. - Common Stock
ZM,"Zoom Video Communications, Inc. - Class A Common Stock"
PBCT,"People's United Financial, Inc. - Common Stock"
ZSAN,Zosano Pharma Corporation - Common Stock
DISH,DISH Network Corporation - Class A Common Stock
INFN,Infinera Corporation - Common Stock
VIAC,ViacomCBS Inc. - Class B Common Stock
CG,The Carlyle Group Inc. - Common Stock
OPGN,"OpGen, Inc. - Common Stock"
PEP,"PepsiCo, Inc. - Common Stock"
WDAY,"Workday, Inc. - Class A Common Stock"
IMGN,"ImmunoGen, Inc. - Common Stock"
AYRO,"AYRO, Inc. - Common Stock"
BNDX,Vanguard Total International Bond ETF
TER,"Teradyne, Inc. - Common Stock"
Z,"Zillow Group, Inc. - Class C Capital Stock"
GT,The Goodyear Tire & Rubber Company - Common Stock
NK,"NantKwest, Inc. - Common Stock"
DVAX,Dynavax Technologies Corporation - Common Stock
AMD,"Advanced Micro Devices, Inc. - Common Stock"
QCOM,QUALCOMM Incorporated - Common Stock
ABUS,Arbutus Biopharma Corporation - Common Stock
MNLO,Menlo Therapeutics Inc. - Common Stock
WTRH,Waitr Holdings Inc. - Common Stock
ARPO,"Aerpio Pharmaceuticals, Inc. - Common Stock"
NYMT,"New York Mortgage Trust, Inc. - Common Stock"
DFFN,Diffusion Pharmaceuticals Inc. - Common Stock
KC,Kingsoft Cloud Holdings Limited - American Depositary Shares
XRAY,DENTSPLY SIRONA Inc. - Common Stock
UAL,"United Airlines Holdings, Inc. - Common Stock"
PAAS,Pan American Silver Corp. - Common Stock
MU,"Micron Technology, Inc. - Common Stock"
CMCSA,Comcast Corporation - Class A Common Stock
SHY,iShares 1-3 Year Treasury Bond ETF
GLUU,Glu Mobile Inc. - Common Stock
FOXA,Fox Corporation - Class A Common Stock
WATT,Energous Corporation - Common Stock
MTP,Midatech Pharma PLC - American Depositary Shares
SFM,"Sprouts Farmers Market, Inc. - Common Stock"
ON,ON Semiconductor Corporation - Common Stock
CLVS,"Clovis Oncology, Inc. - Common Stock"
SGMO,"Sangamo Therapeutics, Inc. - Common Stock"
PLAY,"Dave & Buster's Entertainment, Inc. - Common Stock"
HBAN,Huntington Bancshares Incorporated - Common Stock
ROKU,"Roku, Inc. - Class A Common Stock"
DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest
AKER,Akers Biosciences Inc. - Common Stock
SBUX,Starbucks Corporation - Common Stock
RIGL,"Rigel Pharmaceuticals, Inc. - Common Stock"
MDLZ,"Mondelez International, Inc. - Class A Common Stock"
HHT,Color Star Technology Co. Ltd. - Ordinary Shares
BIDU,"Baidu, Inc. - American Depositary Shares, each representing one tenth Class A ordinary share"
MTCH,"Match Group, Inc. - Common Stock"
QQQ,"Invesco QQQ Trust, Series 1"
TCOM,Trip.com Group Limited - American Depositary Shares
PTON,"Peloton Interactive, Inc. - Common Stock"
AMRN,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share"
SDC,"SmileDirectClub, Inc. - Common Stock"
EXC,Exelon Corporation - Common Stock
STAY,"Extended Stay America, Inc. - Paired Shares"
PYPL,"PayPal Holdings, Inc. - Common Stock"
HZNP,Horizon Therapeutics Public Limited Company - Ordinary Shares
DOCU,"DocuSign, Inc. - Common Stock"
SUNW,"Sunworks, Inc. - Common Stock"
PHUN,"Phunware, Inc. - Common Stock"
MDRX,"Allscripts Healthcare Solutions, Inc. - common stock"
MNST,Monster Beverage Corporation - Common Stock
RUN,Sunrun Inc. - Common Stock
ADTX,"ADiTx Therapeutics, Inc. - Common Stock"
ROST,"Ross Stores, Inc. - Common Stock"
SLM,SLM Corporation - Common Stock
ACGL,Arch Capital Group Ltd. - Common Stock
CAKE,The Cheesecake Factory Incorporated - Common Stock
CSX,CSX Corporation - Common Stock
AGNC,AGNC Investment Corp. - Common Stock
ERIC,Ericsson - American Depositary Shares each representing 1 underlying Class B share
CLSN,Celsion Corporation - Common Stock
MIST,Milestone Pharmaceuticals Inc. - Common Shares
CAPR,"Capricor Therapeutics, Inc. - Common Stock"
GILD,"Gilead Sciences, Inc. - Common Stock"
VBIV,"VBI Vaccines, Inc. - Ordinary Shares"
NVAX,"Novavax, Inc. - Common Stock"
NTAP,"NetApp, Inc. - Common Stock"
HMHC,Houghton Mifflin Harcourt Company - Common Stock
FLDM,Fluidigm Corporation - Common Stock
MOMO,Momo Inc. - American Depositary Shares
TLT,iShares 20+ Year Treasury Bond ETF
FCEL,"FuelCell Energy, Inc. - Common Stock"
GPRO,"GoPro, Inc. - Class A Common Stock"
IDEX,"Ideanomics, Inc. - Common Stock"
FAST,Fastenal Company - Common Stock
ATHX,"Athersys, Inc. - Common Stock"
LYFT,"Lyft, Inc. - Class A Common Stock"
POLA,"Polar Power, Inc. - Common Stock"
MEIP,"MEI Pharma, Inc. - Common Stock"
APHA,Aphria Inc. - Common Shares
SONN,"Sonnet BioTherapeutics Holdings, Inc. - Common Stock"
ETFC,E*TRADE Financial Corporation - Common Stock
CLNE,Clean Energy Fuels Corp. - Common Stock
VEON,VEON Ltd. - American Depositary Shares
FANG,"Diamondback Energy, Inc. - Commmon Stock"
MGEN,"Miragen Therapeutics, Inc. - Common Stock"
FOLD,"Amicus Therapeutics, Inc. - Common Stock"
XLNX,"Xilinx, Inc. - Common Stock"
DISCA,"Discovery, Inc. - Series A Common Stock"
TXMD,"TherapeuticsMD, Inc. - Common Stock"
OTLK,"Outlook Therapeutics, Inc. - Common Stock"
BND,Vanguard Total Bond Market ETF
ANGI,ANGI Homeservices Inc. - Class A Common Stock
NBL,Noble Energy Inc. - Common Stock
AMZN,"Amazon.com, Inc. - Common Stock"
FITB,Fifth Third Bancorp - Common Stock
ACWX,iShares MSCI ACWI ex US Index Fund
WKHS,"Workhorse Group, Inc. - Common Stock"
FB,"Facebook, Inc. - Class A Common Stock"
SFIX,"Stitch Fix, Inc. - Class A Common Stock"
LTRPA,"Liberty TripAdvisor Holdings, Inc. - Series A Common Stock"
XEL,Xcel Energy Inc. - Common Stock
RRR,"Red Rock Resorts, Inc. - Class A Common Stock"
TMUS,"T-Mobile US, Inc. - Common Stock"
TSLA,"Tesla, Inc.  - Common Stock"
NVDA,NVIDIA Corporation - Common Stock
WDC,Western Digital Corporation - Common Stock
CREX,"Creative Realities, Inc. - Common Stock"
STNE,StoneCo Ltd. - Class A Common Share
CBAY,CymaBay Therapeutics Inc. - Common Stock
TRIP,"TripAdvisor, Inc. - Common Stock"
ALT,"Altimmune, Inc. - Common Stock"
MRVL,Marvell Technology Group Ltd. - Common Stock
SMH,VanEck Vectors Semiconductor ETF
LVGO,"Livongo Health, Inc. - common stock"
GAN,GAN Limited - Ordinary Shares
BLMN,"Bloomin' Brands, Inc. - Common Stock"
MBRX,"Moleculin Biotech, Inc. - Common Stock"
SHV,iShares Short Treasury Bond ETF
SQQQ,ProShares UltraPro Short QQQ
RPRX,Royalty Pharma plc - Class A Ordinary Shares
MCHI,iShares MSCI China ETF
VISL,"Vislink Technologies, Inc. - Common Stock"
ADI,"Analog Devices, Inc. - Common Stock"
URBN,"Urban Outfitters, Inc. - Common Stock"
JAMF,Jamf Holding Corp. - Common Stock
TGTX,"TG Therapeutics, Inc. - Common Stock"
AIKI,AIkido Pharma Inc. - Common Stock
AAPL,Apple Inc. - Common Stock
MLCO,Melco Resorts & Entertainment Limited - American Depositary Shares 
WBA,"Walgreens Boots Alliance, Inc. - Common Stock"
SRNE,"Sorrento Therapeutics, Inc. - Common Stock"
NWSA,News Corporation - Class A Common Stock
LBTYK,Liberty Global plc - Class C Ordinary Shares
GPOR,Gulfport Energy Corporation - Common Stock
IRWD,"Ironwood Pharmaceuticals, Inc. - Class A Common Stock"
YRCW,"YRC Worldwide, Inc. - Common Stock"
APA,Apache Corporation - Common Stock
MYOS,MYOS RENS Technology Inc. - Common Stock
VOD,Vodafone Group Plc - American Depositary Shares each representing ten Ordinary Shares
NBEV,"NewAge, Inc. - Common Stock"
UPWK,Upwork Inc. - Common Stock
NERV,"Minerva Neurosciences, Inc - Common Stock"
CZR,"Caesars Entertainment, Inc. - Common Stock"
WEN,Wendy's Company (The) - Common Stock
MGNI,"Magnite, Inc. - Common Stock"
CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock"
DLTR,"Dollar Tree, Inc. - Common Stock"
MSFT,Microsoft Corporation - Common Stock
FISV,"Fiserv, Inc. - Common Stock"
GOCO,"GoHealth, Inc. - Class A Common Stock"
IAC,IAC/InterActiveCorp - Common Stock
PFF,iShares Preferred and Income Securities ETF
XSPA,"XpresSpa Group, Inc.  - Common Stock"
SAVA,"Cassava Sciences, Inc. - Common Stock"
KHC,The Kraft Heinz Company - Common Stock
BYFC,Broadway Financial Corporation - Common Stock
AMAT,"Applied Materials, Inc. - Common Stock"
BNTX,BioNTech SE - American Depositary Shares
INTC,Intel Corporation - Common Stock
HTHT,"Huazhu Group Limited - American Depositary Shares, each representing one Ordinary Share"
VLY,Valley National Bancorp - Common Stock
NAVI,Navient Corporation - Common Stock
JD,"JD.com, Inc. - American Depositary Shares"
SOLO,Electrameccanica Vehicles Corp. Ltd. - Common Stock
GNMK,"GenMark Diagnostics, Inc. - Common Stock"
OSTK,"Overstock.com, Inc. - Common Stock"
MAT,"Mattel, Inc. - Common Stock"
ONTX,"Onconova Therapeutics, Inc. - Common Stock"
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF
EA,Electronic Arts Inc. - Common Stock
BCRX,"BioCryst Pharmaceuticals, Inc. - Common Stock"
SINT,"SiNtx Technologies, Inc. - Common Stock"
AMTD,TD Ameritrade Holding Corporation - Common Stock
INSG,Inseego Corp. - Common Stock
IQ,"iQIYI, Inc. - American Depositary Shares"
LPCN,Lipocine Inc. - Common Stock
UONEK,"Urban One, Inc.  - Class D Common Stock"
GERN,Geron Corporation - Common Stock
PDD,Pinduoduo Inc. - American Depositary Shares
FLEX,Flex Ltd. - Ordinary Shares
BIGC,"BigCommerce Holdings, Inc. - Series 1 Common Stock"
CLSK,"CleanSpark, Inc. - Common Stock"
ATVI,"Activision Blizzard, Inc - Common Stock"
OGI,Organigram Holdings Inc. - Common Shares
NWL,Newell Brands Inc. - Common Stock
BBBY,Bed Bath & Beyond Inc. - Common Stock
SIRI,Sirius XM Holdings Inc. - Common Stock
DKNG,DraftKings Inc. - Class A Common Stock
MNKD,MannKind Corporation - Common Stock
MCHP,Microchip Technology Incorporated - Common Stock
CNDT,Conduent Incorporated - Common Stock
TXN,Texas Instruments Incorporated - Common Stock
KNDI,"Kandi Technologies Group, Inc. - Common Stock"
ADP,"Automatic Data Processing, Inc. - Common Stock"
CETX,Cemtrex Inc. - Common Stock
MARK,"Remark Holdings, Inc. - Common Stock"
GNPX,"Genprex, Inc. - Common Stock"
VCIT,Vanguard Intermediate-Term Corporate Bond ETF
PLUG,"Plug Power, Inc. - Common Stock"
CSCO,"Cisco Systems, Inc. - Common Stock"
UNIT,Uniti Group Inc. - Common Stock
CERN,Cerner Corporation - Common Stock
INO,"Inovio Pharmaceuticals, Inc. - Common Stock"
AAL,"American Airlines Group, Inc. - Common Stock"
ACWI,iShares MSCI ACWI Index Fund
XERS,"Xeris Pharmaceuticals, Inc. - Common Stock"
IMMU,"Immunomedics, Inc. - Common Stock"
MYL,Mylan N.V. - Common Stock
TIGR,UP Fintech Holding Limited - American Depositary Shares representing fifteen Class A Ordinary Shares
CIDM,Cinedigm Corp - Class A Common Stock
VXUS,Vanguard Total International Stock ETF
NKLA,Nikola Corporation - Common Stock
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF
SPWR,SunPower Corporation - Common Stock
OPK,"Opko Health, Inc. - Common Stock"
JBLU,JetBlue Airways Corporation - Common Stock
PEIX,"Pacific Ethanol, Inc. - Common Stock"
SONO,"Sonos, Inc. - Common Stock"
HCAC,Hennessy Capital Acquisition Corp. IV - Warrant
CRON,Cronos Group Inc. - Common Share
EXPE,"Expedia Group, Inc. - Common Stock"
CAN,Canaan Inc. - American Depositary Shares
TELL,Tellurian Inc. - Common Stock
CJJD,"China Jo-Jo Drugstores, Inc. - Common Stock"
BLU,BELLUS Health Inc. - Common Shares
TTWO,"Take-Two Interactive Software, Inc. - Common Stock"
ZNGA,Zynga Inc. - Class A Common Stock
BOXL,Boxlight Corporation - Class A Common Stock
WIMI,WiMi Hologram Cloud Inc. - American Depositary Share
DISCK,"Discovery, Inc. - Series C Common Stock"
IGSB,iShares Short-Term Corporate Bond ETF
VIAV,Viavi Solutions Inc. - Common Stock
UMRX,Unum Therapeutics Inc. - Common Stock
PAYX,"Paychex, Inc. - Common Stock"
ENPH,"Enphase Energy, Inc. - Common Stock"
SFET,Safe-T Group Ltd. - American Depositary Shares
BLNK,Blink Charging Co. - Common Stock
CTSH,Cognizant Technology Solutions Corporation - Class A Common Stock
AMGN,Amgen Inc. - Common Stock
PENN,"Penn National Gaming, Inc. - Common Stock"
CVAC,CureVac N.V. - Ordinary Shares
VCSH,Vanguard Short-Term Corporate Bond ETF
TRVN,"Trevena, Inc. - Common Stock"
ADMP,Adamis Pharmaceuticals Corporation - Common Stock
TQQQ,ProShares UltraPro QQQ
SWKS,"Skyworks Solutions, Inc. - Common Stock"
CAR,"Avis Budget Group, Inc. - Common Stock"
TNXP,Tonix Pharmaceuticals Holding Corp. - Common Stock
ZS,"Zscaler, Inc. - Common Stock"
MGI,"Moneygram International, Inc. - Common Stock"
HOLX,"Hologic, Inc. - Common Stock"